[ 2025-05-20 09:52:17,913 ] 20 root - INFO - Initiate the data ingestion
[ 2025-05-20 09:52:25,061 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-05-20 09:52:25,061 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-05-20 09:52:25,061 ] 75 root - INFO - Exporting train and test file path.
[ 2025-05-20 09:52:25,098 ] 84 root - INFO - Exported train and test file path.
[ 2025-05-20 09:52:25,099 ] 22 root - INFO - Data Initiation Completed
[ 2025-05-20 09:52:25,102 ] 26 root - INFO - Initiate the data Validation
[ 2025-05-20 09:52:25,187 ] 32 root - INFO - Required number of columns:2
[ 2025-05-20 09:52:25,187 ] 33 root - INFO - Data frame has columns:31
[ 2025-05-20 09:52:25,187 ] 32 root - INFO - Required number of columns:2
[ 2025-05-20 09:52:25,187 ] 33 root - INFO - Data frame has columns:31
[ 2025-05-20 09:52:25,281 ] 28 root - INFO - data Validation Completed
[ 2025-05-20 09:52:25,281 ] 31 root - INFO - data Transformation started
[ 2025-05-20 09:52:25,281 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-05-20 09:52:25,281 ] 65 root - INFO - Starting data transformation
[ 2025-05-20 09:52:25,297 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-05-20 09:52:25,297 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-05-20 09:52:25,314 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-20 09:52:25,316 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-20 09:52:25,316 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-20 09:52:25,318 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-20 09:52:25,319 ] 35 root - INFO - data Transformation completed
[ 2025-05-20 09:52:25,319 ] 37 root - INFO - Model Training sstared
